OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,Shape__Length,Shape__Area
1580,20,Roscommon,64544,4/29/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,151,233.9489341,,,622494.1546,7278743876
1581,21,Sligo,65535,4/29/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,116,177.004654,,,682286.8703,5348370378
1582,22,Tipperary,159553,4/29/2020 0:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,468,293.3194612,,,781276.5797,11551196729
1583,23,Waterford,116176,4/29/2020 0:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,138,118.7852913,,,643184.904,4848379555
1584,24,Westmeath,88770,4/29/2020 0:00,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,487,548.6087642,,,422669.3327,5208705730
1585,25,Wexford,149722,4/29/2020 0:00,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,179,119.5549084,,,589324.4767,6332221063
1586,26,Wicklow,142425,4/29/2020 0:00,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,599,420.572231,,,427539.1986,5580728579
1587,1,Carlow,56932,4/30/2020 0:00,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,100,175.6481416,,,319348.5725,2432351721
1588,2,Cavan,76176,4/30/2020 0:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,656,861.1636211,,,515954.4965,5575009911
1589,3,Clare,118817,4/30/2020 0:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,237,199.4664063,,,1013948.95,8722541706
1590,4,Cork,542868,4/30/2020 0:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,1156,212.9431096,,,2129949.409,19529490886
1591,5,Donegal,159192,4/30/2020 0:00,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,459,288.3310719,,,2145085.774,14624041937
1592,6,Dublin,1347359,4/30/2020 0:00,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,10277,762.7514271,,,449433.5318,2612632655
1593,7,Galway,258058,4/30/2020 0:00,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,357,138.3409931,,,1972288.286,17079158586
1594,8,Kerry,147707,4/30/2020 0:00,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,294,199.0426994,,,1753779.819,12483603408
1595,9,Kildare,222504,4/30/2020 0:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,1226,551.0013303,,,422182.0368,4726063622
1596,10,Kilkenny,99232,4/30/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,254,255.9658175,,,453397.5722,5585391835
